Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount,Dominant Event,Cumsum,EXP
103,0.0,0.20370369,0.35185185,0,331,8885,0.20370369,-5.416666602999997,0.2057662156130866
104,0.0,0.19444443,0.36111107,0,324,8892,0.19444443,-5.222222172999997,0.22573208824261792
105,0.0,0.20370369,0.35185185,0,267,8949,0.20370369,-5.018518482999997,0.24719170242009397
106,0.0,0.23148148,0.39814815,0,260,8956,0.23148148,-4.7870370029999965,0.272270532589972
107,0.0,0.2685185,0.40740737,0,211,9005,0.2685185,-4.5185185029999975,0.3023137812382005
108,0.0,0.2685185,0.43518513,0,179,9037,0.2685185,-4.250000002999997,0.333413628898573
109,0.0,0.24999996,0.42592588,0,177,9039,0.24999996,-4.000000042999997,0.36335108160825635
110,0.0,0.24074073,0.4074073,0,188,9028,0.24074073,-3.7592593129999976,0.39310474200079004
111,0.0,0.24999999,0.41666663,0,161,9055,0.24999999,-3.5092593229999975,0.4249943711378434
112,0.0,0.26851848,0.40740734,0,182,9034,0.26851848,-3.2407408429999975,0.4604088024502847
113,0.0,0.25925925,0.4074074,0,228,8988,0.25925925,-2.981481592999997,0.49578339446412073
114,0.0,0.24074073,0.3796296,0,205,9011,0.24074073,-2.7407408629999974,0.529705287410208
115,0.0,0.2037037,0.3425925,0,212,9004,0.2037037,-2.5370371629999973,0.5592410161483444
116,0.0,0.16666667,0.29629627,0,262,8954,0.16666667,-2.3703704929999976,0.5839893569462162
117,-0.009259259,0.14814815,0.23148148,1,309,8906,0.14814815,-2.2222223429999977,0.6064380769516546
118,0.0,0.13888888,0.21296299,0,378,8838,0.13888888,-2.083333462999998,0.6278761303330191
119,0.0,0.12962964,0.19444445,0,423,8793,0.12962964,-1.953703822999998,0.6482337561226038
120,0.0,0.12962964,0.18518518,0,452,8764,0.12962964,-1.8240741829999978,0.668933930125529
121,0.0,0.12962964,0.18518521,0,473,8743,0.12962964,-1.6944445429999977,0.6899824162397896
122,0.0,0.12037038,0.1851852,0,543,8673,0.12037038,-1.574074162999998,0.7098444419683624
123,-0.009259259,0.11111112,0.17592596,5,611,8600,0.11111112,-1.4629630429999976,0.7284537922250114
124,-0.009259259,0.101851866,0.17592591,15,716,8485,0.101851866,-1.361111176999998,0.745747768904624
125,-0.018518519,0.10185186,0.16666667,19,786,8411,0.10185186,-1.259259316999998,0.763269976129898
126,-0.027777778,0.0925926,0.1574074,26,837,8353,0.0925926,-1.1666667169999982,0.7793998413704263
127,-0.027777778,0.083333336,0.14814816,34,920,8262,0.083333336,-1.0833333809999983,0.7940820116776959
128,-0.027777778,0.06481482,0.14814816,60,999,8157,0.06481482,-1.0185185609999987,0.8056108634159236
129,-0.018518519,0.05555556,0.14814815,38,1030,8148,0.05555556,-0.9629630009999985,0.8155695840180714
130,-0.027777778,0.0462963,0.12037039,87,1137,7992,0.0462963,-0.9166667009999987,0.8239230941485683
131,-0.027777778,0.037037037,0.11111113,124,1358,7734,0.037037037,-0.8796296639999985,0.8306418378549574
132,-0.0462963,0.027777778,0.092592604,395,1897,6924,0.027777778,-0.8518518859999986,0.8357019585899546
133,-0.05555556,0.009259259,0.07407408,1207,2572,5437,0.009259259,-0.8425926269999984,0.8373926901916763
134,-0.07407408,0.0,0.06481482,3134,2947,3135,0.0,-0.8425926269999984,0.8373926901916763
135,-0.11111113,-0.009259259,0.05555556,5231,2442,1543,-0.009259259,-0.8518518859999986,0.8357019585899546
136,-0.11111113,-0.027777778,0.0462963,6650,1793,773,-0.027777778,-0.8796296639999985,0.8306418378549574
137,-0.1388889,-0.0462963,0.0462963,7190,1561,465,-0.0462963,-0.9259259639999984,0.8222484066052065
138,-0.12962964,-0.05555556,0.0462963,7301,1541,374,-0.05555556,-0.9814815239999986,0.8122420936416961
139,-0.12962964,-0.05555556,0.037037037,7308,1524,384,-0.05555556,-1.0370370839999987,0.8023070842734304
140,-0.1388889,-0.05555556,0.027777778,7301,1516,399,-0.05555556,-1.092592643999999,0.7924428704009014
141,-0.14814815,-0.06481482,0.037037037,7333,1488,395,-0.06481482,-1.1574074639999985,0.7810234256957225
142,-0.16666667,-0.092592604,0.027777778,7341,1506,369,-0.092592604,-1.2500000679999985,0.7648743232055802
143,-0.16666669,-0.11111113,0.027777778,7342,1514,360,-0.11111113,-1.3611111979999988,0.745747765315495
144,-0.16666667,-0.101851866,0.027777778,7340,1525,351,-0.101851866,-1.4629630639999984,0.7284537886826319
145,-0.16666666,-0.08333334,0.037037037,7332,1529,355,-0.08333334,-1.5462964039999987,0.7144718529041769
146,-0.17592593,-0.074074075,0.037037037,7325,1523,368,-0.074074075,-1.620370478999999,0.7021687564293619
147,-0.14814815,-0.06481482,0.037037037,7305,1500,411,-0.06481482,-1.6851852989999987,0.6914993594314882
148,-0.14814815,-0.037037037,0.074074075,7206,1550,460,-0.037037037,-1.7222223359999989,0.6854424098482831
149,-0.11111113,-0.018518519,0.06481482,6266,2398,552,-0.018518519,-1.7407408549999985,0.6824247466543308
150,-0.092592604,0.0,0.06481482,3237,5292,687,0.0,-1.7407408549999985,0.6824247466543308
151,-0.09259259,0.0,0.05555556,2929,5043,1244,0.0,-1.7407408549999985,0.6824247466543308
152,-0.10185186,-0.009259259,0.08333334,4991,2893,1332,-0.009259259,-1.7500001139999988,0.6809186105496904
153,-0.14814816,-0.027777778,0.083333336,6355,1969,892,-0.027777778,-1.7777778919999987,0.6764109580488096
154,-0.1851852,-0.055555556,0.06481482,6964,1634,618,-0.055555556,-1.8333334479999985,0.6674438631148197
155,-0.22222224,-0.074074075,0.06481482,7219,1552,445,-0.074074075,-1.907407522999999,0.6555870549952449
156,-0.22222222,-0.08333333,0.083333336,7262,1534,420,-0.08333333,-1.9907408529999993,0.6423825889563666
157,-0.19444445,-0.06481481,0.08333334,7052,1681,483,-0.06481481,-2.055555662999999,0.6322099303585004
158,-0.1851852,-0.037037037,0.08333334,6500,1944,772,-0.037037037,-2.092592699999999,0.6264349751466189
159,-0.17592593,-0.027777778,0.10185186,5827,2118,1271,-0.027777778,-2.120370477999999,0.622121791096127
160,-0.15740742,-0.027777782,0.12962963,6014,1999,1203,-0.027777782,-2.1481482599999993,0.6178240014765253
161,-0.17592594,-0.027777778,0.12037039,5731,2084,1401,-0.027777778,-2.175926037999999,0.6135415525760204
162,-0.13888891,-0.009259259,0.12037037,4071,2205,2940,-0.009259259,-2.1851852969999994,0.6121174691021446
163,-0.12037038,0.018518519,0.16666667,2055,2113,5048,0.018518519,-2.1666667779999997,0.6149673345739849
164,-0.10185186,0.037037037,0.17592594,870,1967,6379,0.037037037,-2.1296297409999996,0.6206874863511772
165,-0.0925926,0.0462963,0.19444446,589,1853,6774,0.0462963,-2.0833334409999997,0.6278761337592529
166,-0.11111111,0.0462963,0.16666666,447,1793,6976,0.0462963,-2.037037141,0.6351077496466836
167,-0.06481482,0.037037037,0.1851852,368,1876,6972,0.037037037,-2.0000001039999997,0.6409241517305593
168,-0.046296302,0.027777778,0.1388889,233,2048,6935,0.027777778,-1.9722223259999998,0.6453046874488234
169,-0.0462963,0.027777778,0.12962964,133,2093,6990,0.027777778,-1.9444445479999999,0.6497009146215863
170,-0.037037037,0.037037037,0.14814816,36,1830,7350,0.037037037,-1.9074075109999997,0.6555870569069047
171,-0.027777778,0.074074075,0.20370372,12,1593,7611,0.074074075,-1.8333334359999993,0.6674438650447947
172,-0.018518519,0.10185186,0.24999999,3,1561,7652,0.10185186,-1.7314815759999993,0.6839326822444911
173,0.0,0.12037039,0.27777776,0,1495,7721,0.12037039,-1.6111111859999996,0.7037002412052163
174,-0.009259259,0.12962964,0.28703701,1,1475,7740,0.12962964,-1.4814815459999995,0.7253337237167917
175,-0.009259259,0.12962963,0.29629624,1,1395,7820,0.12962963,-1.3518519159999993,0.7473312209727373
176,0.0,0.12037037,0.25,0,1374,7842,0.12037037,-1.2314815459999995,0.7680887638637078
177,0.0,0.10185186,0.24074073,0,1300,7916,0.10185186,-1.1296296859999995,0.7859058090244381
178,-0.009259259,0.08333334,0.23148146,9,1302,7905,0.08333334,-1.0462963459999992,0.8006581455869001
179,-0.009259259,0.083333336,0.19444445,21,1226,7969,0.083333336,-0.9629630099999993,0.8155695823989831
180,-0.009259259,0.07407408,0.1851852,23,1173,8020,0.07407408,-0.8888889299999994,0.8289591464962365
181,-0.009259259,0.07407408,0.1851852,10,1182,8024,0.07407408,-0.8148148499999994,0.842476992875151
182,-0.009259259,0.07407408,0.1851852,14,1175,8027,0.07407408,-0.7407407699999995,0.8561243505782608
183,-0.018518519,0.06481482,0.1574074,27,1122,8067,0.06481482,-0.6759259499999999,0.8681730034827008
