Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount
234,-1.0,-1.0,0.0,9084,132,0
235,-1.0,-1.0,0.0,9040,176,0
236,-1.0,-1.0,0.0,9068,148,0
237,-1.0,-1.0,0.0,9069,147,0
238,-1.0,-1.0,0.0,9068,148,0
239,-1.0,-1.0,0.0,9083,133,0
240,-1.0,-1.0,0.0,9134,82,0
241,-1.0,-1.0,0.0,9141,75,0
242,-1.0,-1.0,0.0,9118,98,0
243,-1.0,-1.0,0.0,9086,130,0
244,-1.0,-1.0,0.0,9040,176,0
245,-1.0,-1.0,0.0,8921,295,0
246,-1.0,-1.0,0.0,8824,392,0
247,-1.0,-1.0,0.0,8665,551,0
248,-1.0,-1.0,0.0,8572,644,0
249,-1.0,-1.0,0.0,8405,811,0
250,-1.0,-1.0,0.0,8180,1036,0
251,-1.0,-1.0,0.0,8002,1214,0
252,-1.0,-1.0,0.0,7835,1381,0
253,-1.0,-1.0,0.0,7546,1670,0
254,-1.0,-1.0,0.0,7424,1792,0
255,-1.0,-1.0,0.0,7000,2216,0
256,-1.0,-1.0,0.0,6790,2426,0
257,-1.0,-1.0,0.0,6618,2598,0
258,-1.0,-1.0,0.0,6475,2741,0
259,-1.0,-1.0,0.0,6166,3050,0
260,-1.0,-1.0,0.0,5998,3218,0
261,-1.0,-1.0,0.0,6020,3196,0
262,-1.0,-1.0,0.0,5889,3327,0
263,-1.0,-1.0,0.0,5974,3242,0
264,-1.0,-1.0,0.0,5801,3415,0
265,-1.0,-1.0,0.0,5766,3450,0
266,-1.0,-1.0,0.0,5669,3547,0
267,-1.0,-1.0,0.0,5775,3441,0
268,-1.0,-1.0,0.0,5462,3754,0
269,-1.0,-1.0,0.0,5254,3962,0
270,-1.0,-1.0,0.0,5135,4081,0
271,-1.0,-1.0,0.0,5075,4141,0
272,-1.0,-1.0,0.0,5117,4099,0
273,-1.0,-1.0,0.0,4893,4323,0
274,-1.0,-1.0,0.0,4578,4638,0
275,-1.0,0.0,0.0,4291,4925,0
276,-1.0,0.0,0.0,4246,4970,0
277,-1.0,0.0,0.0,4047,5169,0
278,-1.0,0.0,0.0,3957,5259,0
279,-1.0,0.0,0.0,3829,5387,0
280,-1.0,0.0,0.0,3703,5513,0
281,-1.0,0.0,0.0,3448,5768,0
282,-1.0,0.0,0.0,3175,6041,0
283,-1.0,0.0,0.0,2897,6319,0
284,-1.0,0.0,0.0,2781,6435,0
285,-1.0,0.0,0.0,2638,6578,0
286,-1.0,0.0,0.0,2572,6644,0
287,-1.0,0.0,0.0,2485,6731,0
288,-1.0,0.0,0.0,2362,6854,0
289,-1.0,0.0,0.0,2073,7143,0
290,-1.0,0.0,0.0,1850,7366,0
291,-1.0,0.0,0.0,1643,7573,0
292,-1.0,0.0,0.0,1653,7563,0
293,-1.0,0.0,0.0,1608,7608,0
294,-1.0,0.0,0.0,1615,7601,0
295,-1.0,0.0,0.0,1546,7670,0
296,-1.0,0.0,0.0,1387,7829,0
297,-1.0,0.0,0.0,1344,7872,0
298,-1.0,0.0,0.0,1357,7859,0
299,-1.0,0.0,0.0,1380,7836,0
300,-1.0,0.0,0.0,1329,7887,0
301,-1.0,0.0,0.0,1093,8123,0
302,-1.0,0.0,0.0,914,8302,0
303,-1.0,0.0,0.0,830,8386,0
304,-1.0,0.0,0.0,872,8344,0
305,-1.0,0.0,0.0,790,8426,0
306,-1.0,0.0,0.0,760,8456,0
307,-1.0,0.0,0.0,666,8550,0
308,-1.0,0.0,0.0,662,8554,0
309,-1.0,0.0,0.0,628,8588,0
310,-1.0,0.0,0.0,612,8604,0
311,-1.0,0.0,0.0,553,8663,0
312,-1.0,0.0,0.0,627,8589,0
313,-1.0,0.0,0.0,543,8673,0
314,-1.0,0.0,0.0,493,8723,0
315,-1.0,0.0,0.0,395,8821,0
316,-1.0,0.0,0.0,388,8828,0
317,-1.0,0.0,0.0,405,8811,0
318,-1.0,0.0,0.0,344,8872,0
319,-1.0,0.0,0.0,308,8908,0
320,-1.0,0.0,0.0,350,8866,0
321,-1.0,0.0,0.0,333,8883,0
322,-1.0,0.0,0.0,373,8843,0
323,-1.0,0.0,0.0,235,8981,0
324,-1.0,0.0,0.0,261,8955,0
325,-1.0,0.0,0.0,174,9042,0
326,-1.0,0.0,0.0,246,8970,0
